type,format,identifier,references
Sound,audio/mp4,https://static.inaturalist.org/sounds/451013.m4a?1653518052,https://www.inaturalist.org/photos/451013
Sound,audio/mp4,https://static.inaturalist.org/sounds/450660.m4a?1653488751,https://www.inaturalist.org/photos/450660
Sound,audio/mp4,https://static.inaturalist.org/sounds/450588.m4a?1653484674,https://www.inaturalist.org/photos/450588
Sound,audio/mp4,https://static.inaturalist.org/sounds/450587.m4a?1653484661,https://www.inaturalist.org/photos/450587
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/200769557/original.jpeg,https://www.inaturalist.org/photos/200769557
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/451694.wav?1653580983,https://www.inaturalist.org/photos/451694
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/199209526/original.jpeg,https://www.inaturalist.org/photos/199209526
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/199209542/original.jpeg,https://www.inaturalist.org/photos/199209542
Sound,audio/mpeg,https://static.inaturalist.org/sounds/445236.mp3?1653089470,https://www.inaturalist.org/photos/445236
Sound,audio/mp4,https://static.inaturalist.org/sounds/436884.m4a?1652468632,https://www.inaturalist.org/photos/436884
Sound,audio/mp4,https://static.inaturalist.org/sounds/448602.m4a?1653320900,https://www.inaturalist.org/photos/448602
Sound,audio/mp4,https://static.inaturalist.org/sounds/448364.m4a?1653309860,https://www.inaturalist.org/photos/448364
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/199841048/original.jpeg,https://www.inaturalist.org/photos/199841048
Sound,audio/mp4,https://static.inaturalist.org/sounds/447438.m4a?1653241825,https://www.inaturalist.org/photos/447438
Sound,audio/mp4,https://static.inaturalist.org/sounds/437997.m4a?1652545308,https://www.inaturalist.org/photos/437997
Sound,audio/mp4,https://static.inaturalist.org/sounds/444486.m4a?1653041194,https://www.inaturalist.org/photos/444486
Sound,audio/mp4,https://static.inaturalist.org/sounds/443463.m4a?1652934217,https://www.inaturalist.org/photos/443463
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/186869.wav?1618284069,https://www.inaturalist.org/photos/186869
Sound,audio/mp4,https://static.inaturalist.org/sounds/407211.m4a?1651107949,https://www.inaturalist.org/photos/407211
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/191206764/original.jpeg,https://www.inaturalist.org/photos/191206764
Sound,audio/mp4,https://static.inaturalist.org/sounds/451933.m4a?1653596539,https://www.inaturalist.org/photos/451933
