type,format,identifier,references
Sound,audio/mpeg,https://static.inaturalist.org/sounds/448578.mp3?1653319382,https://www.inaturalist.org/photos/448578
Sound,audio/mp4,https://static.inaturalist.org/sounds/449267.m4a?1653360275,https://www.inaturalist.org/photos/449267
Sound,audio/mpeg,https://static.inaturalist.org/sounds/450052.mpga?1653433525,https://www.inaturalist.org/photos/450052
Sound,audio/mp4,https://static.inaturalist.org/sounds/450430.m4a?1653473829,https://www.inaturalist.org/photos/450430
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/443217.wav?1652910049,https://www.inaturalist.org/photos/443217
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/12851.wav?1502938271,https://soundcloud.com/mark-wilkinson1-1/turtle-dove-fowlmere-270517-mono
Sound,audio/mpeg,https://static.inaturalist.org/sounds/450026.mpga?1653432728,https://www.inaturalist.org/photos/450026
Sound,audio/mp4,https://static.inaturalist.org/sounds/440789.m4a?1652707388,https://www.inaturalist.org/photos/440789
Sound,audio/mp4,https://static.inaturalist.org/sounds/447199.m4a?1653230599,https://www.inaturalist.org/photos/447199
Sound,audio/mp4,https://static.inaturalist.org/sounds/447047.m4a?1653222382,https://www.inaturalist.org/photos/447047
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/200190608/original.jpg,https://www.inaturalist.org/photos/200190608
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/449358.wav?1653373815,https://www.inaturalist.org/photos/449358
Sound,audio/mp4,https://static.inaturalist.org/sounds/449397.m4a?1653378636,https://www.inaturalist.org/photos/449397
Sound,audio/mp4,https://static.inaturalist.org/sounds/444459.m4a?1653037710,https://www.inaturalist.org/photos/444459
Sound,audio/mpeg,https://static.inaturalist.org/sounds/449050.mp3?1653346057,https://www.inaturalist.org/photos/449050
Sound,audio/mp4,https://static.inaturalist.org/sounds/364845.m4a?1646329021,https://www.inaturalist.org/photos/364845
Sound,audio/mp4,https://static.inaturalist.org/sounds/451277.m4a?1653544657,https://www.inaturalist.org/photos/451277
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/200268370/original.jpg,https://www.inaturalist.org/photos/200268370
Sound,audio/mpeg,https://static.inaturalist.org/sounds/449719.mp3?1653407411,https://www.inaturalist.org/photos/449719
Sound,audio/mp4,https://static.inaturalist.org/sounds/451742.m4a?1653583626,https://www.inaturalist.org/photos/451742
Sound,audio/mp4,https://static.inaturalist.org/sounds/444460.m4a?1653037945,https://www.inaturalist.org/photos/444460
Sound,audio/mp4,https://static.inaturalist.org/sounds/448294.m4a?1653304860,https://www.inaturalist.org/photos/448294
Sound,audio/mpeg,https://static.inaturalist.org/sounds/444664.mp3?1653053358,https://www.inaturalist.org/photos/444664
Sound,audio/mp4,https://static.inaturalist.org/sounds/444267.m4a?1653009333,https://www.inaturalist.org/photos/444267
Sound,audio/mp4,https://static.inaturalist.org/sounds/444419.m4a?1653032049,https://www.inaturalist.org/photos/444419
Sound,audio/mp4,https://static.inaturalist.org/sounds/226244.m4a?1621433264,https://www.inaturalist.org/photos/226244
Sound,audio/mp4,https://static.inaturalist.org/sounds/446960.m4a?1653218257,https://www.inaturalist.org/photos/446960
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/199944858/original.jpeg,https://www.inaturalist.org/photos/199944858
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/199945020/original.jpeg,https://www.inaturalist.org/photos/199945020
Sound,audio/mpeg,https://static.inaturalist.org/sounds/448257.mp3?1653301896,https://www.inaturalist.org/photos/448257
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/199945055/original.jpeg,https://www.inaturalist.org/photos/199945055
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/199945079/original.jpeg,https://www.inaturalist.org/photos/199945079
Sound,audio/mp4,https://static.inaturalist.org/sounds/439463.m4a?1652629643,https://www.inaturalist.org/photos/439463
Sound,audio/mp4,https://static.inaturalist.org/sounds/439485.m4a?1652630529,https://www.inaturalist.org/photos/439485
Sound,audio/mp4,https://static.inaturalist.org/sounds/445707.m4a?1653135736,https://www.inaturalist.org/photos/445707
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/443189.wav?1652908522,https://www.inaturalist.org/photos/443189
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/443190.wav?1652908534,https://www.inaturalist.org/photos/443190
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/442418.wav?1652846700,https://www.inaturalist.org/photos/442418
Sound,audio/mp4,https://static.inaturalist.org/sounds/443796.m4a?1652968818,https://www.inaturalist.org/photos/443796
Sound,audio/mp4,https://static.inaturalist.org/sounds/445340.m4a?1653096294,https://www.inaturalist.org/photos/445340
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/198701211/original.jpg,https://www.inaturalist.org/photos/198701211
Sound,audio/mpeg,https://static.inaturalist.org/sounds/443158.mp3?1652906668,https://www.inaturalist.org/photos/443158
Sound,audio/mp4,https://static.inaturalist.org/sounds/439006.m4a?1652608980,https://www.inaturalist.org/photos/439006
Sound,audio/mp4,https://static.inaturalist.org/sounds/437308.m4a?1652496956,https://www.inaturalist.org/photos/437308
Sound,audio/mp4,https://static.inaturalist.org/sounds/442677.m4a?1652873098,https://www.inaturalist.org/photos/442677
Sound,audio/mp4,https://static.inaturalist.org/sounds/443559.m4a?1652952650,https://www.inaturalist.org/photos/443559
Sound,audio/mpeg,https://static.inaturalist.org/sounds/438337.mpga?1652562287,https://www.inaturalist.org/photos/438337
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/437897.wav?1652541260,https://www.inaturalist.org/photos/437897
Sound,audio/mp4,https://static.inaturalist.org/sounds/440256.m4a?1652665305,https://www.inaturalist.org/photos/440256
Sound,audio/mpeg,https://static.inaturalist.org/sounds/444080.mp3?1652991323,https://www.inaturalist.org/photos/444080
Sound,audio/mpeg,https://static.inaturalist.org/sounds/441882.mp3?1652800303,https://www.inaturalist.org/photos/441882
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/443858.wav?1652972765,https://www.inaturalist.org/photos/443858
Sound,audio/mp4,https://static.inaturalist.org/sounds/436785.m4a?1652462802,https://www.inaturalist.org/photos/436785
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/398414.wav?1650355378,https://www.inaturalist.org/photos/398414
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/197956802/original.jpeg,https://www.inaturalist.org/photos/197956802
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/197956841/original.jpeg,https://www.inaturalist.org/photos/197956841
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/440129.wav?1652657009,https://www.inaturalist.org/photos/440129
Sound,audio/mpeg,https://static.inaturalist.org/sounds/442171.mp3?1652822344,https://www.inaturalist.org/photos/442171
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/199957504/original.jpeg,https://www.inaturalist.org/photos/199957504
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/443512.wav?1652943467,https://www.inaturalist.org/photos/443512
Sound,audio/mp4,https://static.inaturalist.org/sounds/437576.m4a?1652527646,https://www.inaturalist.org/photos/437576
Sound,audio/mp4,https://static.inaturalist.org/sounds/442644.m4a?1652870326,https://www.inaturalist.org/photos/442644
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/437632.wav?1652530688,https://www.inaturalist.org/photos/437632
Sound,audio/mp4,https://static.inaturalist.org/sounds/441145.m4a?1652730375,https://www.inaturalist.org/photos/441145
Sound,audio/mp4,https://static.inaturalist.org/sounds/439271.m4a?1652621840,https://www.inaturalist.org/photos/439271
Sound,audio/mp4,https://static.inaturalist.org/sounds/437432.m4a?1652511818,https://www.inaturalist.org/photos/437432
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/197434676/original.jpeg,https://www.inaturalist.org/photos/197434676
Sound,audio/mp4,https://static.inaturalist.org/sounds/438857.m4a?1652593570,https://www.inaturalist.org/photos/438857
Sound,audio/mpeg,https://static.inaturalist.org/sounds/441356.mp3?1652747429,https://www.inaturalist.org/photos/441356
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/438350.wav?1652562467,https://www.inaturalist.org/photos/438350
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/439066.wav?1652612424,https://www.inaturalist.org/photos/439066
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/438533.wav?1652571495,https://www.inaturalist.org/photos/438533
Sound,audio/mp4,https://static.inaturalist.org/sounds/440557.m4a?1652688837,https://www.inaturalist.org/photos/440557
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/441950.wav?1652805814,https://www.inaturalist.org/photos/441950
Sound,audio/mp4,https://static.inaturalist.org/sounds/428565.m4a?1651926651,https://www.inaturalist.org/photos/428565
Sound,audio/mpeg,https://static.inaturalist.org/sounds/441708.mp3?1652790213,https://www.inaturalist.org/photos/441708
Sound,audio/mp4,https://static.inaturalist.org/sounds/439664.m4a?1652637611,https://www.inaturalist.org/photos/439664
Sound,audio/mp4,https://static.inaturalist.org/sounds/439328.m4a?1652624620,https://www.inaturalist.org/photos/439328
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/441034.wav?1652724692,https://www.inaturalist.org/photos/441034
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/439059.wav?1652612209,https://www.inaturalist.org/photos/439059
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/197957032/original.jpeg,https://www.inaturalist.org/photos/197957032
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/440132.wav?1652657255,https://www.inaturalist.org/photos/440132
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/197957003/original.jpeg,https://www.inaturalist.org/photos/197957003
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/197957074/original.jpeg,https://www.inaturalist.org/photos/197957074
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/197956941/original.jpeg,https://www.inaturalist.org/photos/197956941
Sound,audio/mpeg,https://static.inaturalist.org/sounds/221310.mp3?1621046559,https://www.inaturalist.org/photos/221310
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/197761970/original.jpg,https://www.inaturalist.org/photos/197761970
Sound,audio/mpeg,https://static.inaturalist.org/sounds/443342.mp3?1652921662,https://www.inaturalist.org/photos/443342
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/197761959/original.jpg,https://www.inaturalist.org/photos/197761959
Sound,audio/mpeg,https://static.inaturalist.org/sounds/438831.mp3?1652591739,https://www.inaturalist.org/photos/438831
Sound,audio/mp4,https://static.inaturalist.org/sounds/230597.m4a?1621782182,https://www.inaturalist.org/photos/230597
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/378749.wav?1648258129,https://www.inaturalist.org/photos/378749
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/394671.wav?1650083804,https://www.inaturalist.org/photos/394671
Sound,audio/mp4,https://static.inaturalist.org/sounds/440597.m4a?1652694922,https://www.inaturalist.org/photos/440597
